id,prompt
1,What is the capital of France?
2,Name one mammal that can fly.
3,What is 7 multiplied by 8?
4,Give one reason plants need sunlight.
5,What does CPU stand for?
6,Name one ocean on Earth.
7,What is the freezing point of water in Celsius?
8,Give one example of a renewable energy source.
9,What is the largest planet in the Solar System?
10,Name one programming language.
11,What gas do humans primarily breathe in from the atmosphere?
12,What is the opposite of increase?
13,Name one continent in the Southern Hemisphere.
14,What is the square root of 81?
15,Give one example of a primary color.
16,What instrument measures temperature?
17,What is one function of the human heart?
18,Name one data format commonly used for tables.
19,What does URL stand for?
20,Give one reason researchers use control conditions.
